Sentence #,Word,POS,Tag
Sentence: 1,The,DT,O
,Los,NNP,O
,Angeles,NNP,O
,Times,NNP,O
,",",",",O
,whose,WP$,O
,printing,VBG,O
,operations,NNS,O
,were,VBD,O
,disrupted,VBN,O
,",",",",O
,said,VBD,O
,the,DT,O
,cyberattack,NN,O
,had,VBD,O
,come,VBN,O
,from,IN,O
,outside,IN,O
,the,DT,O
,United,NNP,O
,States.CreditCreditEmily,NNP,O
,Berl,NNP,O
,for,IN,O
,The,DT,O
,New,NNP,O
,York,NNP,O
,Times,NNP,O
,The,DT,O
,Los,NNP,O
,Angeles,NNP,O
,Times,NNP,O
,says,VBZ,O
,an,DT,O
,unusual,JJ,O
,cyberattack,NN,O
,that,WDT,O
,disrupted,VBD,O
,its,PRP$,O
,printing,NN,O
,operations,NNS,O
,and,CC,O
,those,DT,O
,at,IN,O
,newspapers,NNS,O
,in,IN,O
,San,NNP,O
,Diego,NNP,O
,and,CC,O
,Florida,NNP,O
,over,IN,O
,the,DT,O
,weekend,NN,O
,came,VBD,O
,from,IN,O
,outside,IN,O
,the,DT,O
,United,NNP,O
,States,NNPS,O
,",",",",O
,but,CC,O
,it,PRP,O
,stopped,VBD,O
,short,JJ,O
,of,IN,O
,accusing,VBG,O
,a,DT,O
,specific,JJ,O
,foreign,JJ,O
,government,NN,O
,.,.,O
Sentence: 2,The,DT,O
,Tribune,NNP,O
,,NNP,O
,s,VBD,O
,remaining,VBG,O
,publications,NNS,O
,include,VBP,O
,its,PRP$,O
,flagship,NN,O
,",",",",O
,The,DT,O
,Chicago,NNP,O
,Tribune,NNP,O
,",",",",O
,and,CC,O
,newspapers,NNS,O
,in,IN,O
,Florida,NNP,O
,",",",",O
,Hartford,NNP,O
,and,CC,O
,Maryland,NNP,O
,.,.,O
Sentence: 3,Whoever,WP,O
,is,VBZ,O
,behind,IN,O
,the,DT,O
,ransomware,NN,O
,",",",",O
,the,DT,O
,attacks,NNS,O
,appear,VBP,O
,to,TO,O
,have,VB,O
,paid,VBN,O
,off,RP,O
,.,.,O
Sentence: 4,This,DT,O
,month,NN,O
,",",",",O
,the,DT,O
,group,NN,O
,",",",",O
,which,WDT,O
,goes,VBZ,O
,by,IN,O
,the,DT,O
,name,NN,O
,Grim,NNP,O
,Spider,NNP,O
,",",",",O
,received,VBD,O
,a,DT,O
,ransom,JJ,O
,payment,NN,O
,of,IN,O
,nearly,RB,O
,100,CD,O
,Bitcoin,NNP,O
,",",",",O
,the,DT,O
,equivalent,NN,O
,of,IN,O
,more,JJR,O
,than,IN,O
,"$380,000",CD,O
,.,.,O
Sentence: 5,It,PRP,O
,apparently,RB,O
,took,VBD,O
,Tribune,NNP,O
,a,DT,O
,while,NN,O
,to,TO,O
,understand,VB,O
,the,DT,O
,nature,NN,O
,of,IN,O
,the,DT,O
,attack,NN,O
,.,.,O
Sentence: 6,The,DT,O
,problem,NN,O
,first,RB,O
,appeared,VBD,O
,to,TO,O
,be,VB,O
,a,DT,O
,malfunctioning,JJ,O
,computer,NN,O
,server,NN,O
,.,.,O
Sentence: 7,The,DT,O
,first,JJ,O
,evidence,NN,O
,of,IN,O
,the,DT,O
,attack,NN,O
,emerged,VBD,O
,Thursday,NNP,O
,night,NN,O
,",",",",O
,The,DT,O
,Los,NNP,O
,Angeles,NNP,O
,Times,NNP,O
,reported,VBD,O
,",",",",O
,and,CC,O
,by,IN,O
,Friday,NNP,O
,it,PRP,O
,appeared,VBD,O
,to,TO,O
,have,VB,O
,been,VBN,O
,contained,VBN,O
,.,.,O
Sentence: 8,But,CC,O
,it,PRP,O
,came,VBD,O
,back,RB,O
,,VBZ,O
,a,DT,O
,frequent,JJ,O
,occurrence,NN,O
,with,IN,O
,sophisticated,JJ,O
,attacks,NNS,O
,,FW,O
,and,CC,O
,began,VBD,O
,to,TO,O
,spread,VB,O
,through,IN,O
,the,DT,O
,systems,NNS,O
,that,WDT,O
,govern,VBP,O
,the,DT,O
,interface,NN,O
,between,IN,O
,the,DT,O
,news,NN,O
,content,NN,O
,systems,NNS,O
,and,CC,O
,the,DT,O
,systems,NNS,O
,that,WDT,O
,control,VBP,O
,the,DT,O
,printing,NN,O
,of,IN,O
,the,DT,O
,newspapers,NNS,O
,.,.,O
Sentence: 9,By,IN,O
,late,JJ,O
,Friday,NNP,O
,",",",",O
,The,DT,O
,Los,NNP,O
,Angeles,NNP,O
,Times,NNP,O
,said,VBD,O
,",",",",O
,,VBD,O
,the,DT,O
,attack,NN,O
,was,VBD,O
,hindering,VBG,O
,the,DT,O
,transmission,NN,O
,of,IN,O
,pages,NNS,O
,from,IN,O
,offices,NNS,O
,across,IN,O
,Southern,NNP,O
,California,NNP,O
,to,TO,O
,printing,VBG,O
,presses,NNS,O
,.,.,O
,,NN,O
Sentence: 10,Among,IN,O
,the,DT,O
,hardest,JJS,O
,hit,NN,O
,was,VBD,O
,the,DT,O
,San,NNP,O
,Diego,NNP,O
,paper,NN,O
,",",",",O
,whose,WP$,O
,production,NN,O
,teams,NNS,O
,could,MD,O
,not,RB,O
,transmit,VB,O
,the,DT,O
,files,NNS,O
,that,WDT,O
,enable,VBP,O
,the,DT,O
,making,NN,O
,of,IN,O
,page,NN,O
,plates,NNS,O
,for,IN,O
,the,DT,O
,printing,NN,O
,presses,NNS,O
,.,.,O
Sentence: 11,As,IN,O
,a,DT,O
,result,NN,O
,",",",",O
,delays,NNS,O
,cascaded,VBD,O
,across,IN,O
,the,DT,O
,printing,NN,O
,schedules,NNS,O
,for,IN,O
,other,JJ,O
,newspapers,NNS,O
,.,.,O
Sentence: 12,The,DT,O
,South,NNP,O
,Florida,NNP,O
,Sun,NNP,O
,Sentinel,NNP,O
,was,VBD,O
,also,RB,O
,hit,VBN,O
,",",",",O
,the,DT,O
,newspaper,NN,O
,reported,VBD,O
,on,IN,O
,its,PRP$,O
,website,NN,O
,.,.,O
Sentence: 13,It,PRP,O
,also,RB,O
,owns,VBZ,O
,The,DT,O
,Daily,JJ,O
,News,NNP,O
,in,IN,O
,New,NNP,O
,York,NNP,O
,.,.,O
Sentence: 14,It,PRP,O
,said,VBD,O
,distribution,NN,O
,of,IN,O
,The,DT,O
,New,NNP,O
,York,NNP,O
,Times,NNP,O
,and,CC,O
,The,DT,O
,Palm,NNP,O
,Beach,NNP,O
,Post,NNP,O
,had,VBD,O
,also,RB,O
,been,VBN,O
,affected,VBN,O
,",",",",O
,because,IN,O
,they,PRP,O
,share,NN,O
,the,DT,O
,same,JJ,O
,presses,NNS,O
,.,.,O
Sentence: 15,On,IN,O
,Sunday,NNP,O
,",",",",O
,Hillary,NNP,O
,Manning,NNP,O
,",",",",O
,vice,NN,O
,president,NN,O
,for,IN,O
,communications,NNS,O
,at,IN,O
,The,DT,O
,Los,NNP,O
,Angeles,NNP,O
,Times,NNP,O
,",",",",O
,said,VBD,O
,",",",",O
,,VBD,O
,The,DT,O
,presses,NNS,O
,ran,VBD,O
,on,IN,O
,schedule,NN,O
,",",",",O
,and,CC,O
,papers,NNS,O
,were,VBD,O
,being,VBG,O
,delivered,VBN,O
,as,IN,O
,usual,JJ,O
,today,NN,O
,.,.,O
,,NN,O
Sentence: 16,She,PRP,O
,added,VBD,O
,",",",",O
,,VBD,O
,The,DT,O
,systems,NNS,O
,outage,NN,O
,caused,VBN,O
,by,IN,O
,a,DT,O
,virus,NN,O
,or,CC,O
,malware,NN,O
,has,VBZ,O
,not,RB,O
,been,VBN,O
,completely,RB,O
,resolved,VBN,O
,yet,RB,O
,.,.,O
,,NN,O
Sentence: 17,About,IN,O
,"20,000",CD,O
,copies,NNS,O
,of,IN,O
,The,DT,O
,New,NNP,O
,York,NNP,O
,Times,NNP,O
,from,IN,O
,the,DT,O
,Los,NNP,O
,Angeles,NNP,O
,plant,NN,O
,were,VBD,O
,delivered,VBN,O
,a,DT,O
,day,NN,O
,late,RB,O
,",",",",O
,a,DT,O
,spokeswoman,NN,O
,for,IN,O
,the,DT,O
,paper,NN,O
,",",",",O
,Eileen,NNP,O
,Murphy,NNP,O
,",",",",O
,said,VBD,O
,.,.,O
Sentence: 18,Colleen,NNP,O
,Schwartz,NNP,O
,",",",",O
,a,DT,O
,spokeswoman,NN,O
,for,IN,O
,The,DT,O
,Wall,NNP,O
,Street,NNP,O
,Journal,NNP,O
,",",",",O
,said,VBD,O
,she,PRP,O
,could,MD,O
,confirm,VB,O
,that,IN,O
,The,DT,O
,Journal,NNP,O
,,NNP,O
,was,VBD,O
,impacted,VBN,O
,in,IN,O
,certain,JJ,O
,regions,NNS,O
,",",",",O
,,CC,O
,though,IN,O
,she,PRP,O
,did,VBD,O
,not,RB,O
,have,VB,O
,any,DT,O
,details,NNS,O
,on,IN,O
,which,WDT,O
,areas,NNS,O
,or,CC,O
,the,DT,O
,number,NN,O
,of,IN,O
,copies,NNS,O
,affected,VBN,O
,.,.,O
Sentence: 19,Google,NNP,O
,to,TO,O
,patch,VB,O
,Chrome,NNP,O
,mobile,JJ,O
,hole,NN,O
,after,IN,O
,bank,NN,O
,trojan,NN,O
,hits,VBZ,O
,318k,CD,O
,users,NNS,O
,Flaw,NNP,O
,allowing,VBG,O
,ads,NNS,O
,to,TO,O
,offer,VB,O
,dodgy,JJ,O
,apps,NN,O
,won't,NN,O
,be,VB,O
,fixed,VBN,O
,for,IN,O
,about,RB,O
,three,CD,O
,weeks,NNS,O
,An,DT,O
,Android,NNP,O
,Chrome,NNP,O
,bug,NN,O
,that's,NN,O
,already,RB,O
,under,IN,O
,attack,NN,O
,-,:,O
,with,IN,O
,criminals,NNS,O
,pushing,VBG,O
,banking,NN,O
,trojans,NNS,O
